"id(n)","n.name","labels(n)"
"1","Master Wireshark 3 in 5 Days","[""Course""]"
"2","Learning Path: Wireshark -The Advanced Network Analysis Tool","[""Course""]"
"3","Automation Testing using Selenium & Katalon Studio","[""Course""]"
"4","Test Automation with Katalon Studio (Selenium WebDriver)","[""Course""]"
"5","Katalon Studio Beginners - Hands-on Training","[""Course""]"
"6","Complete Katalon Studio 2020 for Web + API Test Automation","[""Course""]"
"7","Web testing using Katalon Studio - Basic to advance","[""Course""]"
"8","Microsoft SQL for Beginners","[""Course""]"
"9","70-461, 761: Querying Microsoft SQL Server with Transact-SQL","[""Course""]"
"10","Microsoft SQL from A to Z","[""Course""]"
"11","Microsoft SQL Server Reporting Services (SSRS)","[""Course""]"
"12","Learn SQL with Microsoft SQL Server","[""Course""]"
"13","Microsoft SQL Server for Beginners | Crash Course","[""Course""]"
"14","CS50's Web Programming with Python and JavaScript","[""Course""]"
"15","JavaScript Introduction","[""Course""]"
"16","Programming for the Web with JavaScript","[""Course""]"
"17","Introduction to Cloud Development with HTML5, CSS3, and JavaScript","[""Course""]"
"18","Using JavaScript, JQuery, and JSON in Django","[""Course""]"
"19","Nature, in Code: Biology in JavaScript","[""Course""]"
"20","Make Your Own App","[""Course""]"
"21","SQL for Data Science","[""Course""]"
"22","Databases: Advanced Topics in SQL","[""Course""]"
"23","Structured Database Environments with SQL","[""Course""]"
"24","Databases: Relational Databases and SQL","[""Course""]"
"25","Querying Data with Transact-SQL","[""Course""]"
"26","Programming for Everybody (Getting Started with Python)","[""Course""]"
"27","Python Basics for Data Science","[""Course""]"
"28","Using Python for Research","[""Course""]"
"29","Analyzing Data with Python","[""Course""]"
"30","Python for Data Science","[""Course""]"
"31","Probability and Statistics in Data Science using Python","[""Course""]"
"32","Data visualization is the graphical representation of data in order to interactively and efficiently convey insights to clients, customers, and stakeholders in general.","[""Course""]"
"33","Data Science: Computational Thinking with Python","[""Course""]"
"34","Python Data Structures","[""Course""]"
"35","Introduction to Java Programming: Starting to code in Java","[""Course""]"
"36","Java Programming Fundamentals","[""Course""]"
"37","Introduction to Java Programming: Writing Good Code","[""Course""]"
"38","Introduction to Java Programming: Fundamental Data Structures and Algorithms","[""Course""]"
"39","Building Modern Java Applications on AWS","[""Course""]"
"40","Introduction to Object-Oriented Programming with Java I: Foundations and Syntax Basics","[""Course""]"
"41","Introduction to Object-Oriented Programming with Java II: Object-Oriented Programming and Algorithms","[""Course""]"
"42","Introduction to Object-Oriented Programming with Java III: Exceptions, Data Structures, Recursion, and GUIs","[""Course""]"
"43","Learn to Program in Java","[""Course""]"
