"id(h)","type(r)","id(t)"
"107","TECH","107"
"1012","TECH","107"
"100","TECH","107"
"99","TECH","107"
"469","TECH","107"
"106","TECH","107"
"67","TECH","107"
"977","TECH","570"
"562","TECH","570"
"567","TECH","570"
"568","TECH","570"
"561","TECH","570"
"978","TECH","570"
"980","TECH","570"
"127","TECH","570"
"566","TECH","570"
"563","TECH","570"
"979","TECH","570"
"559","TECH","570"
"569","TECH","570"
"555","TECH","570"
"350","TECH","570"
"557","TECH","570"
"558","TECH","570"
"553","TECH","570"
"554","TECH","570"
"215","TECH","570"
"981","TECH","570"
"1003","TECH","570"
"565","TECH","570"
"560","TECH","570"
"564","TECH","570"
"570","TECH","570"
"976","TECH","570"
"217","TECH","570"
"219","TECH","570"
"571","TECH","570"
"556","TECH","570"
"963","TECH","992"
"965","TECH","992"
"168","TECH","992"
"162","TECH","992"
"490","TECH","992"
"957","TECH","992"
"956","TECH","992"
"522","TECH","992"
"523","TECH","992"
"524","TECH","992"
"530","TECH","992"
"967","TECH","992"
"77","TECH","992"
"961","TECH","992"
"974","TECH","992"
"528","TECH","992"
"954","TECH","992"
"966","TECH","992"
"975","TECH","992"
"958","TECH","992"
"962","TECH","992"
"952","TECH","992"
"971","TECH","992"
"525","TECH","992"
"953","TECH","992"
"968","TECH","992"
"964","TECH","992"
"973","TECH","992"
"531","TECH","992"
"970","TECH","992"
"969","TECH","992"
"959","TECH","992"
"955","TECH","992"
"529","TECH","992"
"972","TECH","992"
"527","TECH","992"
"650","TECH","992"
"478","TECH","992"
"960","TECH","992"
"1019","TECH","992"
"526","TECH","992"
"1018","TECH","992"
"992","TECH","992"
"1196","FRAME_RELATED","1025"
"990","FRAME","1025"
"1014","FRAME","1025"
"1024","FRAME","1025"
"820","FRAME","1025"
"830","FRAME","1025"
"827","FRAME","1025"
"233","FRAME","1025"
"612","FRAME","1025"
"828","FRAME","1025"
"821","FRAME","1025"
"826","FRAME","1025"
"822","FRAME","1025"
"824","FRAME","1025"
"819","FRAME","1025"
"818","FRAME","1025"
"823","FRAME","1025"
"831","FRAME","1025"
"817","FRAME","1025"
"829","FRAME","1025"
"825","FRAME","1025"
"770","FRAME","1026"
"797","FRAME","1026"
"771","FRAME","1026"
"776","FRAME","1026"
"1023","FRAME","1026"
"406","FRAME","1026"
"153","FRAME","1026"
"661","FRAME","1026"
"829","FRAME","1026"
"14","FRAME","1026"
"764","FRAME","1026"
"236","FRAME","1026"
"769","FRAME","1026"
"228","FRAME","1026"
"622","FRAME","1026"
"775","FRAME","1026"
"241","FRAME","1026"
"800","FRAME","1026"
"615","FRAME","1026"
"614","FRAME","1026"
"806","FRAME","1026"
"814","FRAME","1026"
"16","FRAME","1026"
"779","FRAME","1026"
"773","FRAME","1026"
"233","FRAME","1026"
"443","FRAME","1026"
"679","FRAME","1026"
"235","FRAME","1026"
"794","FRAME","1026"
"609","FRAME","1026"
"765","FRAME","1026"
"774","FRAME","1026"
"768","FRAME","1026"
"618","FRAME","1026"
"767","FRAME","1026"
"613","FRAME","1026"
"610","FRAME","1026"
"762","FRAME","1026"
"766","FRAME","1026"
"763","FRAME","1026"
"629","FRAME","1026"
"624","FRAME","1026"
"772","FRAME","1026"
"158","FRAME","1026"
"638","FRAME","1027"
"639","FRAME","1027"
"133","FRAME","1027"
"636","FRAME","1027"
"640","FRAME","1027"
"630","FRAME","1027"
"637","FRAME","1027"
"992","FRAME","1028"
"122","FRAME","1028"
"632","FRAME","1028"
"117","FRAME","1028"
"994","FRAME","1028"
"637","FRAME","1029"
"635","FRAME","1029"
"1172","FRAME_RELATED","1030"
"513","FRAME","1030"
"652","FRAME","1030"
"514","FRAME","1030"
"653","FRAME","1030"
"642","FRAME","1030"
"118","FRAME","1030"
"518","FRAME","1030"
"507","FRAME","1030"
"631","FRAME","1030"
"992","FRAME","1030"
"647","FRAME","1030"
"651","FRAME","1030"
"521","FRAME","1030"
"134","FRAME","1030"
"504","FRAME","1030"
"520","FRAME","1030"
"648","FRAME","1030"
"641","FRAME","1030"
"644","FRAME","1030"
"650","FRAME","1030"
"645","FRAME","1030"
"994","FRAME","1030"
"510","FRAME","1030"
"649","FRAME","1030"
"516","FRAME","1030"
"646","FRAME","1030"
"505","FRAME","1030"
"1184","FRAME_RELATED","1031"
"1171","FRAME_RELATED","1031"
"1185","FRAME_RELATED","1031"
"643","FRAME","1031"
"630","FRAME","1031"
"994","FRAME","1031"
"29","FRAME","1031"
"122","FRAME","1031"
"28","FRAME","1031"
"636","FRAME","1031"
"1171","FRAME_RELATED","1032"
"795","FRAME","1032"
"643","FRAME","1032"
"27","FRAME","1032"
"29","FRAME","1032"
"30","FRAME","1032"
"72","FRAME","1032"
"122","FRAME","1032"
"1193","FRAME_RELATED","1033"
"1001","FRAME","1033"
"707","FRAME","1033"
"699","FRAME","1033"
"836","FRAME","1033"
"708","FRAME","1033"
"706","FRAME","1033"
"662","FRAME","1033"
"1015","FRAME","1033"
"704","FRAME","1033"
"705","FRAME","1033"
"989","FRAME","1033"
"709","FRAME","1033"
"615","FRAME","1033"
"616","FRAME","1033"
"145","FRAME","1033"
"660","FRAME","1033"
"593","FRAME","1033"
"700","FRAME","1033"
"703","FRAME","1033"
"698","FRAME","1033"
"617","FRAME","1033"
"702","FRAME","1033"
"1336","FRAME_RELATED","1034"
"136","FRAME","1034"
"231","FRAME","1034"
"670","FRAME","1034"
"1020","FRAME","1034"
"805","FRAME","1034"
"669","FRAME","1034"
"234","FRAME","1034"
"132","FRAME","1034"
"846","FRAME","1034"
"1189","FRAME_RELATED","1035"
"1019","FRAME","1035"
"680","FRAME","1035"
"681","FRAME","1035"
"610","FRAME","1035"
"1022","FRAME","1035"
"672","FRAME","1035"
"769","FRAME","1035"
"677","FRAME","1035"
"779","FRAME","1035"
"766","FRAME","1035"
"767","FRAME","1035"
"722","FRAME","1035"
"676","FRAME","1035"
"679","FRAME","1035"
"683","FRAME","1035"
"622","FRAME","1035"
"674","FRAME","1035"
"673","FRAME","1035"
"768","FRAME","1035"
"675","FRAME","1035"
"1015","FRAME","1035"
"847","FRAME","1035"
"678","FRAME","1035"
"608","FRAME","1035"
"770","FRAME","1035"
"803","FRAME","1035"
"689","FRAME","1036"
"693","FRAME","1036"
"688","FRAME","1036"
